,symbol,product,ticker2,currency,instrument,region,exchange
178,263750,PEARL ABYSS CORP,1FL4M,KRW,FUT,KR,KSE
179,267250,HD HYUNDAI,1FH5H,KRW,FUT,KR,KSE
180,27,GALAXY ENTERTAINMENT GROUP L,GLXK4,HKD,FUT,HK,HKFE
181,271560,ORION CORP/REPUBLIC OF KOREA,1FJ5Z,KRW,FUT,KR,KSE
182,271560,ORION CORP/REPUBLIC OF KOREA,1FJ4Z,KRW,FUT,KR,KSE
183,271560,ORION CORP/REPUBLIC OF KOREA,1FJ4U,KRW,FUT,KR,KSE
184,2800,TRACKER FUND OF HONG KONG-B,TRFM4,HKD,FUT,HK,HKFE
185,2822,CSOP FTSE CHINA A50 ETF-HKD,CSAH4,HKD,FUT,HK,HKFE
186,2823,ISHARES FTSE CHINA A50 E-HKD,A50M4,HKD,FUT,HK,HKFE
187,2899,ZIJIN MINING GROUP CO LTD-H,ZJMK4,HKD,FUT,HK,HKFE
188,294870,HDC HYUNDAI DEVELOPMENT CO-E,1EC5Z,KRW,FUT,KR,KSE
189,294870,HDC HYUNDAI DEVELOPMENT CO-E,1EC4U,KRW,FUT,KR,KSE
190,294870,HDC HYUNDAI DEVELOPMENT CO-E,1EC4Z,KRW,FUT,KR,KSE
191,3,HONG KONG &amp; CHINA GAS,HKGU4,HKD,FUT,HK,HKFE
192,302440,SK BIOSCIENCE CO LTD,1F94Z,KRW,FUT,KR,KSE
193,302440,SK BIOSCIENCE CO LTD,1F94U,KRW,FUT,KR,KSE
194,302440,SK BIOSCIENCE CO LTD,1F95Z,KRW,FUT,KR,KSE
195,316140,WOORI FINANCIAL GROUP INC,1EB4K,KRW,FUT,KR,KSE
196,316140,WOORI FINANCIAL GROUP INC,1EB4J,KRW,FUT,KR,KSE
197,329180,HD HYUNDAI HEAVY INDUSTRIES,1FD4Z,KRW,FUT,KR,KSE
198,329180,HD HYUNDAI HEAVY INDUSTRIES,1FD4U,KRW,FUT,KR,KSE
